#  Eastern NWS Region Average Temperature
# Units: Degrees Fahrenheit
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
196201,27.3,-1.3
196202,29.7,-0.5
196203,37.6,-1.5
196204,48.7,-0.8
196205,63.1,3.3
196206,68.1,0.1
196207,69.6,-2.6
196208,69.7,-0.7
196209,61.1,-2.9
196210,53.7,0.7
196211,39.5,-2.4
196212,27.7,-4.1
196301,25.1,-3.5
196302,23.6,-6.6
196303,40.9,1.8
196304,50.2,0.7
196305,58.3,-1.5
196306,67.8,-0.2
196307,71.5,-0.7
196308,68.4,-2.0
196309,60.5,-3.5
196310,56.2,3.2
196311,44.5,2.6
196312,24.1,-7.7
196401,29.8,1.2
196402,28.0,-2.2
196403,39.7,0.6
196404,49.6,0.1
196405,61.8,2.0
196406,68.2,0.2
196407,72.2,0.0
196408,67.8,-2.6
196409,62.9,-1.1
196410,49.9,-3.1
196411,44.5,2.6
196412,33.5,1.7
196501,27.3,-1.3
196502,29.6,-0.6
196503,36.1,-3.0
196504,48.2,-1.3
196505,63.5,3.7
196506,66.6,-1.4
196507,70.0,-2.2
196508,70.0,-0.4
196509,65.1,1.1
196510,50.9,-2.1
196511,41.8,-0.1
196512,34.6,2.8
196601,25.5,-3.1
196602,29.8,-0.4
196603,39.9,0.8
196604,47.2,-2.3
196605,57.2,-2.6
196606,67.6,-0.4
196607,72.8,0.6
196608,70.2,-0.2
196609,61.5,-2.5
196610,51.0,-2.0
196611,43.4,1.5
196612,31.8,0.0
196701,32.9,4.3
196702,26.2,-4.0
196703,38.3,-0.8
196704,50.5,1.0
196705,54.3,-5.5
196706,68.6,0.6
196707,70.8,-1.4
196708,69.0,-1.4
196709,60.6,-3.4
196710,52.2,-0.8
196711,38.1,-3.8
196712,34.4,2.6
196801,23.7,-4.9
196802,24.8,-5.4
196803,40.9,1.8
196804,51.7,2.2
196805,57.1,-2.7
196806,67.2,-0.8
196807,72.3,0.1
196808,71.2,0.8
196809,64.5,0.5
196810,54.4,1.4
196811,41.8,-0.1
196812,29.2,-2.6
196901,27.1,-1.5
196902,30.0,-0.2
196903,35.3,-3.8
196904,50.8,1.3
196905,59.5,-0.3
196906,68.6,0.6
196907,72.3,0.1
196908,70.3,-0.1
196909,63.1,-0.9
196910,52.5,-0.5
196911,40.7,-1.2
196912,29.0,-2.8
197001,21.2,-7.4
197002,29.4,-0.8
197003,36.7,-2.4
197004,50.5,1.0
197005,61.6,1.8
197006,67.8,-0.2
197007,72.4,0.2
197008,71.2,0.8
197009,66.4,2.4
197010,55.4,2.4
197011,43.0,1.1
197012,31.8,0.0
197101,24.6,-4.0
197102,30.7,0.5
197103,35.9,-3.2
197104,47.3,-2.2
197105,57.5,-2.3
197106,69.4,1.4
197107,70.8,-1.4
197108,69.4,-1.0
197109,66.5,2.5
197110,58.5,5.5
197111,41.0,-0.9
